time,type,intersection,direction,turning_left,vehicle
201.10,Exit,1,W,null,8
201.10,Resume,null,null,null,121
201.10,CheckWait,null,null,null,null
201.40,Resume,null,null,null,9
201.40,CheckWait,null,null,null,null
201.40,Exit,1,W,null,9
201.40,Resume,null,null,null,122
201.40,CheckWait,null,null,null,null
201.70,Resume,null,null,null,20
201.70,CheckWait,null,null,null,null
201.70,Exit,1,W,null,20
201.70,Resume,null,null,null,123
201.70,CheckWait,null,null,null,null
201.70,Exit,2,W,null,123
202.00,Resume,null,null,null,26
202.00,CheckWait,null,null,null,null
202.00,Exit,1,W,null,26
202.00,Resume,null,null,null,124
202.00,CheckWait,null,null,null,null
202.30,Resume,null,null,null,125
202.30,CheckWait,null,null,null,null
202.60,Resume,null,null,null,126
202.60,CheckWait,null,null,null,null
202.90,Resume,null,null,null,127
202.90,CheckWait,null,null,null,null
203.20,Resume,null,null,null,128
203.20,CheckWait,null,null,null,null
203.50,Resume,null,null,null,129
203.50,CheckWait,null,null,null,null
203.80,Resume,null,null,null,177
203.80,CheckWait,null,null,null,null
204.10,Resume,null,null,null,178
204.10,CheckWait,null,null,null,null
204.40,Resume,null,null,null,179
204.40,CheckWait,null,null,null,null
204.70,Resume,null,null,null,180
204.70,CheckWait,null,null,null,null
206.87,Enter,5,W,null,282
206.87,Resume,5,W,null,282
206.87,WaitUntil,5,W,true,282
211.40,TurnRedLeft,1,N,null,null
212.20,TurnRedLeft,5,N,null,null
212.67,Resume,3,S,null,222
212.67,WaitUntil,3,S,false,222
212.67,Resume,null,null,null,222
212.67,CheckWait,null,null,null,null
213.60,TurnGreenThrough,1,N,null,null
213.90,Resume,null,null,null,10
213.90,CheckWait,null,null,null,null
214.20,Resume,null,null,null,11
214.20,CheckWait,null,null,null,null
214.50,Resume,null,null,null,12
214.50,CheckWait,null,null,null,null
214.80,Resume,null,null,null,13
214.80,CheckWait,null,null,null,null
214.80,Exit,1,E,null,13
215.10,Resume,null,null,null,14
215.10,CheckWait,null,null,null,null
215.40,Resume,null,null,null,15
215.40,CheckWait,null,null,null,null
215.70,Resume,null,null,null,16
215.70,CheckWait,null,null,null,null
215.80,TurnGreenThrough,5,N,null,null
215.95,Resume,5,S,null,176
215.95,WaitUntil,5,S,false,176
216.00,Resume,null,null,null,17
216.00,CheckWait,null,null,null,null
216.10,Resume,null,null,null,221
216.10,CheckWait,null,null,null,null
216.30,Resume,null,null,null,18
216.30,CheckWait,null,null,null,null
216.30,Exit,1,E,null,18
216.40,Resume,null,null,null,1
216.40,CheckWait,null,null,null,null
216.60,Resume,null,null,null,19
216.60,CheckWait,null,null,null,null
216.70,Resume,null,null,null,118
216.70,CheckWait,null,null,null,null
216.90,Resume,null,null,null,21
216.90,CheckWait,null,null,null,null
216.90,Exit,1,E,null,21
217.00,Resume,null,null,null,119
217.00,CheckWait,null,null,null,null
217.20,Resume,null,null,null,22
217.20,CheckWait,null,null,null,null
217.30,Resume,null,null,null,120
217.30,CheckWait,null,null,null,null
217.50,Resume,null,null,null,23
217.50,CheckWait,null,null,null,null
217.50,Exit,1,E,null,23
217.60,Resume,null,null,null,173
217.60,CheckWait,null,null,null,null
217.80,Resume,null,null,null,24
217.80,CheckWait,null,null,null,null
217.80,Exit,1,E,null,24
217.90,Resume,null,null,null,175
217.90,CheckWait,null,null,null,null
218.10,Resume,null,null,null,25
218.10,CheckWait,null,null,null,null
218.20,Resume,null,null,null,176
218.20,CheckWait,null,null,null,null
219.77,Enter,3,E,null,249
219.77,Resume,3,E,null,249
