time,type,intersection,direction,vehicle
251.90,RedSouth,1,N,null
251.98,Arrival,5,W,619
253.09,Arrival,5,W,620
253.15,Arrival,5,W,621
253.38,Arrival,1,S,80
253.60,RedSouth,5,N,null
255.23,Arrival,5,S,9
255.53,Arrival,5,S,11
255.79,Arrival,5,W,622
255.80,Arrival,1,S,81
255.80,GreenWestTurnLeft,1,null,null
255.80,Departure,1,W,318
255.83,Arrival,5,S,12
256.10,Departure,1,W,319
256.13,Arrival,5,S,13
256.18,Arrival,5,W,623
256.40,Departure,1,W,320
256.43,Arrival,5,S,14
256.70,Departure,1,W,321
256.73,Arrival,5,S,16
257.00,Departure,1,W,322
257.03,Arrival,5,S,17
257.13,Arrival,3,S,387
257.13,Departure,3,S,387
257.30,Departure,1,W,323
257.33,Arrival,5,S,18
257.60,Departure,1,W,324
257.63,Arrival,5,S,19
257.75,Exit,5,N,539
257.90,Departure,1,W,325
257.93,Arrival,5,S,22
258.15,Arrival,1,S,82
258.20,Departure,1,W,326
258.23,Arrival,5,S,23
258.53,Arrival,5,S,24
258.61,Arrival,1,S,83
258.83,Arrival,5,S,26
259.13,Arrival,5,S,27
259.43,Arrival,5,S,30
259.68,Arrival,3,W,488
259.73,Arrival,5,S,33
259.75,Arrival,2,S,74
259.80,GreenWestTurnLeft,5,null,null
259.80,Departure,5,W,603
260.03,Arrival,5,S,34
260.10,Departure,5,W,604
260.40,Departure,5,W,605
260.70,Departure,5,W,606
261.00,Departure,5,W,607
261.30,Departure,5,W,608
261.60,Departure,5,W,609
261.90,Departure,5,W,610
262.20,Departure,5,W,611
262.50,Departure,5,W,612
262.66,Arrival,1,W,327
262.66,Departure,1,W,327
262.80,Departure,5,W,613
262.90,Arrival,1,S,84
263.04,Arrival,5,W,624
